Key;Nieuw Wetboek van Strafvordering
98-1-0-0;"2.7.61; 2.7.62, 1"
98-2-0-0;59939
98-3-0-0;2.7.63, 1
98-4-0-0;2.7.63, 2
98-5-0-0;"2.7.59, 1; 2.7.61, b"
98-6-0-0;2.7.62, 3
99-1-0-0;vervallen (mvt)
99-2-0-0;vervallen (mvt)
99a-0-0-0;42042
100-1-0-0;2.7.16, 2
100-2-0-0;2.7.16, 3
101-1-0-0;vervallen (mvt)
101-2-0-0;2.7.16, 4
101-3-0-0;algemene regeling (2.1.13)
101-4-0-0;2.7.16, 6
102-1-0-0;2.7.16, 7
102-2-0-0;2.7.16, 7
102-3-0-0;vervallen (mvt)
102-4-0-0;algemene regeling (2.1.10)
102a-1-0-0;vervallen (mvt)
102a-2-0-0;vervallen (mvt)
102a-3-0-0;vervallen (mvt)
103-1-0-0;2.7.19, 6
103-2-0-0;43868
103-3-0-0;2.7.21, b
103-4-0-0;vervallen (mvt)
103-5-0-0;vervallen (mvt)
104-1-0-0;2.7.68, 1
104-2-0-0;algemene regeling (B2T7.5)
105-1-0-0;2.7.68, 1
105-2-0-0;algemene regeling (2.1.13)
105-3-0-0;algemene regeling (B2T7.5)
108-1-0-0;vervallen (mvt)
108-2-0-0;vervallen (mvt)
109-0-0-0;vervallen
110-1-0-0;2.7.69, 1
110-2-0-0;2.7.69, 2
110-3-0-0;"2.7.15; 2.7.69, 1"
114-1-0-0;2.7.68, 1
114-2-0-0;2.7.68, 1
116-1-0-0;45695
